Size,Bellman-Ford,Dijkstra
40,0.033805131912231445,0.0010471343994140625
40,0.03130388259887695,0.0010471343994140625
40,0.030108928680419922,0.0009682178497314453
40,0.030692100524902344,0.0009856224060058594
60,0.11544013023376465,0.003246307373046875
60,0.10982418060302734,0.003256082534790039
60,0.11177420616149902,0.003337860107421875
60,0.10497307777404785,0.0031223297119140625
80,0.26000118255615234,0.00720524787902832
80,0.2617919445037842,0.006987094879150391
80,0.27214598655700684,0.007193803787231445
80,0.2641911506652832,0.007164955139160156
100,0.4909539222717285,0.012722015380859375
100,0.5173990726470947,0.013330936431884766
100,0.5059280395507812,0.01275491714477539
100,0.5226249694824219,0.01400303840637207
120,0.9060850143432617,0.02193307876586914
120,0.8780381679534912,0.022818803787231445
120,0.9145328998565674,0.02360677719116211
120,0.9063339233398438,0.02279520034790039
140,1.436048984527588,0.035356998443603516
140,1.470263957977295,0.036778926849365234
140,1.4113450050354004,0.035302162170410156
140,1.4513881206512451,0.03617596626281738
160,2.2515451908111572,0.05345606803894043
160,2.205472707748413,0.05561113357543945
160,2.2191169261932373,0.057311296463012695
160,2.1845569610595703,0.053967952728271484
180,3.096014976501465,0.07527875900268555
180,3.1621310710906982,0.07787895202636719
180,3.2939870357513428,0.0798029899597168
180,3.3473660945892334,0.07876801490783691
200,4.5386199951171875,0.11069798469543457
200,4.325607776641846,0.1027073860168457
200,4.622097969055176,0.11667895317077637
200,4.265630006790161,0.10641098022460938
