,Bellman-Ford,Bellman-Ford,Dijkstra,Dijkstra
,mean,std,mean,std
Size,,,,
40,0.031477510929107666,0.0016266379552719562,0.0010120272636413574,4.115621953082031e-05
60,0.11050289869308472,0.004360124448067952,0.003240644931793213,8.891881026120047e-05
80,0.26453256607055664,0.005358021373272386,0.007137775421142578,0.00010187422504622357
100,0.5092265009880066,0.01403658156763023,0.0132027268409729,0.0006023712401297727
120,0.901247501373291,0.015962959111720108,0.02278846502304077,0.0006836876135261189
140,1.442261517047882,0.024912231712365777,0.03590351343154907,0.0007073144441432892
160,2.2151729464530945,0.028106513648248684,0.055086612701416016,0.0017449370588688493
180,3.224874794483185,0.11593424574618867,0.07793217897415161,0.001935805267814608
200,4.4379889369010925,0.16966621306612956,0.1091238260269165,0.00600244829003109
